FECHA	HORA	NH3	SO2	NO	NO2	NOx	O3
01/01/2023	00	3	6	5	24	32	12
01/01/2023	01	4	6	11	29	46	7
01/01/2023	02	3	6	14	32	54	6
01/01/2023	03	3	7	2	14	17	26
01/01/2023	04	3	6	1	16	17	21
01/01/2023	05	2	6	1	14	15	24
01/01/2023	06	3	7	1	16	17	19
01/01/2023	07	2	7	5	23	30	14
01/01/2023	08	2	7	14	30	51	6
01/01/2023	09	2	7	25	29	67	6
01/01/2023	10	2	7	12	24	41	16
01/01/2023	11	3	7	11	23	39	19
01/01/2023	12	3	7	11	21	37	25
01/01/2023	13	4	6	7	14	25	39
01/01/2023	14	5	4	5	10	18	39
01/01/2023	15	7	5	3	8	12	50
01/01/2023	16	7	5	3	8	12	60
01/01/2023	17	7	5	5	15	21	46
01/01/2023	18	8	5	4	21	28	30
01/01/2023	19	8	4	7	26	37	26
01/01/2023	20	7	5	18	39	66	7
01/01/2023	21	8	5	30	40	85	3
01/01/2023	22	7	6	20	40	71	3
01/01/2023	23	7	6	27	37	77	4
02/01/2023	00	7	4	3	26	31	8
02/01/2023	01	6	4	1	17	19	16
02/01/2023	02	6	5	1	10	12	22
02/01/2023	03	6	5	1	8	10	20
02/01/2023	04	6	5	1	10	11	16
02/01/2023	05	5	6	1	14	16	11
02/01/2023	06	5	6	6	20	29	8
02/01/2023	07	5	6	27	27	67	4
02/01/2023	08	5	7	30	30	75	5
02/01/2023	09	4	7	46	32	102	5
02/01/2023	10	6	7	61	35	128	6
02/01/2023	11	6	6	40	35	96	9
02/01/2023	12	9	5	22	31	64	15
02/01/2023	13	10	5	18	30	58	33
02/01/2023	14	11	5	9	23	36	25
02/01/2023	15	9	4	5	18	26	34
02/01/2023	16	9	4	9	33	46	39
02/01/2023	17	9	4	9	30	45	48
02/01/2023	18	9	4	12	38	56	35
02/01/2023	19	10	5	23	48	83	15
02/01/2023	20	10	5	13	47	66	9
02/01/2023	21	9	5	32	45	94	3
02/01/2023	22	9	5	39	46	105	4
02/01/2023	23	8	5	15	44	66	6
03/01/2023	00	8	5	4	36	42	6
03/01/2023	01	8	5	2	26	28	10
03/01/2023	02	8	5	2	22	24	13
03/01/2023	03	8	5	1	18	20	13
03/01/2023	04	7	5	2	22	25	7
03/01/2023	05	7	5	12	22	40	3
03/01/2023	06	8	5	17	22	47	3
03/01/2023	07	8	5	43	26	91	4
03/01/2023	08	8	6	66	27	128	4
03/01/2023	09	9	7	85	28	157	4
03/01/2023	12	10	5	10	23	39	40
03/01/2023	13	10	4	3	16	21	36
03/01/2023	14	10	4	4	13	19	25
03/01/2023	15	11	5	8	23	36	36
03/01/2023	16	12	5	7	22	32	51
03/01/2023	17	11	4	5	25	33	47
03/01/2023	18	10	4	14	44	65	24
03/01/2023	19	10	5	13	45	65	5
03/01/2023	20	9	5	48	47	121	4
03/01/2023	21	8	6	84	53	181	4
03/01/2023	22	8	6	64	44	141	4
03/01/2023	23	8	5	31	33	80	4
04/01/2023	00	8	5	15	25	49	3
04/01/2023	01	8	6	16	28	52	4
04/01/2023	02	8	6	9	24	38	5
04/01/2023	03	8	4	9	18	31	4
04/01/2023	04	7	5	5	19	27	7
04/01/2023	05	6	5	1	13	14	16
04/01/2023	06	6	5	4	18	24	10
04/01/2023	07	6	6	21	27	60	5
04/01/2023	08	5	7	49	27	102	4
