FECHA	HORA	PM2.5	Veloc.	Direc.	SO2	CO	NO	NO2	PM10	NOx	O3
01/01/2023	00	23	0,8	263	4	0,2	3	15	31	19	20
01/01/2023	01	31	0,4	226	4	0,1	2	17	41	20	12
01/01/2023	02	14	0,4	258	4	0,1	2	14	19	17	21
01/01/2023	03	7	0,8	262	4	0,1	2	5	12	8	36
01/01/2023	04	13	0,3	203	4	0,1	2	9	20	12	18
01/01/2023	05	14	0,1	80	4	0,1	2	11	20	14	13
01/01/2023	06	11	0,4	209	4	0,1	2	9	17	13	16
01/01/2023	07	8	0,3	245	4	0,1	2	8	13	12	23
01/01/2023	08	9	1	201	4	0,1	2	12	17	15	18
01/01/2023	09	11	0,7	301	4	0,1	2	8	22	11	18
01/01/2023	10	10	0,4	327	4	0,1	2	12	20	15	17
01/01/2023	11	12	0,3	342	4	0,1	2	13	24	16	23
01/01/2023	12	14	0,9	40	4	0,1	2	8	22	12	34
01/01/2023	13	13	2,2	66	4	0,1	2	3	18	6	44
01/01/2023	14	16	2,8	68	4	0,1	2	3	20	6	54
01/01/2023	15	16	2,9	58	3	0,1	2	4	20	7	53
01/01/2023	16	15	2,7	48	3	0,1	2	5	18	9	55
01/01/2023	17	16	1,6	45	3	0,1	2	8	21	11	45
01/01/2023	18	18	0,9	32	3	0,2	2	12	25	16	38
01/01/2023	19	21	0,5	34	3	0,2	2	14	27	17	31
01/01/2023	20	26	0,6	32	3	0,2	2	14	34	18	30
01/01/2023	21	30	0,6	4	4	0,2	2	17	39	20	19
01/01/2023	22	30	0,5	345	3	0,2	2	19	38	23	18
01/01/2023	23	27	0,3	351	4	0,2	2	14	36	17	25
02/01/2023	00	30	0,4	306	3	0,2	2	19	38	22	17
02/01/2023	01	27	0,4	302	3	0,2	2	11	35	14	30
02/01/2023	02	25	0,6	343	4	0,1	2	6	31	9	35
02/01/2023	03	23	0,4	302	4	0,1	2	5	30	8	30
02/01/2023	04	19	0,3	241	4	0,1	2	4	24	7	28
02/01/2023	05	15	0,4	298	4	0,1	2	5	19	8	22
02/01/2023	06	12	0,2	199	4	0,1	2	9	15	12	12
02/01/2023	07	11	0,3	352	4	0,1	9	18	17	32	3
02/01/2023	08	12	0,3	331	4	0,2	23	21	32	55	4
02/01/2023	09	13	0,5	257	4	0,2	25	22	50	62	5
02/01/2023	10	14	0,7	230	4	0,1	22	24	53	57	6
