FECHA	HORA	PM2.5	NO	NO2	PM10	NOx
01/01/2023	00	111	26	49	139	89
01/01/2023	01	32	9	54	53	68
01/01/2023	02	15	4	45	23	51
01/01/2023	03	9	1	29	15	32
01/01/2023	04	7	1	20	13	22
01/01/2023	05	8	6	30	20	39
01/01/2023	06	7	21	46	17	78
01/01/2023	07	7	13	41	13	61
01/01/2023	08	8	37	52	23	108
01/01/2023	09	12	98	68	28	217
01/01/2023	10	14	13	45	23	65
01/01/2023	11	12	11	36	20	53
01/01/2023	12	13	10	29	22	44
01/01/2023	13	15	5	19	25	26
01/01/2023	14	16	2	14	27	18
01/01/2023	15	17	2	13	27	16
01/01/2023	16	17	2	13	29	16
01/01/2023	17	17	1	15	28	17
01/01/2023	18	21	1	23	34	25
01/01/2023	19	22	1	29	35	32
01/01/2023	20	27	1	35	39	37
01/01/2023	21	40	3	43	50	48
01/01/2023	22	48	13	59	58	78
01/01/2023	23	32	8	57	42	69
02/01/2023	00	29	5	42	38	49
02/01/2023	01	25	2	26	33	29
02/01/2023	02	21	3	20	29	24
02/01/2023	03	19	1	16	27	18
02/01/2023	04	13	1	14	20	14
02/01/2023	05	10	1	14	15	15
02/01/2023	06	8	1	23	14	25
02/01/2023	07	10	26	43	21	82
02/01/2023	08	11	47	50	26	122
02/01/2023	09	12	29	48	31	92
02/01/2023	10	13	40	50	35	112
02/01/2023	11	13	34	45	34	97
02/01/2023	12	19	56	60	48	145
02/01/2023	13	25	24	48	50	85
02/01/2023	14	23	8	33	43	46
02/01/2023	15	21	6	32	38	41
02/01/2023	16	22	8	46	43	58
02/01/2023	17	19	2	31	33	34
02/01/2023	18	21	4	46	40	52
02/01/2023	19	22	2	51	38	54
02/01/2023	20	33	3	59	55	65
02/01/2023	21	40	11	57	57	74
02/01/2023	22	37	46	78	54	149
02/01/2023	23	33	13	65	49	85
03/01/2023	00	32	10	53	45	69
03/01/2023	01	31	21	47	40	78
03/01/2023	02	30	3	37	37	41
03/01/2023	03	29	1	33	37	35
03/01/2023	04	28	1	31	35	32
03/01/2023	05	28	1	33	34	35
03/01/2023	06	26	8	37	33	49
03/01/2023	07	24	27	37	32	78
03/01/2023	08	24	66	43	37	145
03/01/2023	09	24	93	47	43	189
03/01/2023	10	27	75	54	48	169
03/01/2023	11	27	29	52	48	95
03/01/2023	12	19	6	34	36	43
03/01/2023	13	17	3	23	34	27
03/01/2023	14	17	4	26	32	31
03/01/2023	15	19	9	42	36	56
03/01/2023	16	18	5	31	33	39
03/01/2023	17	20	7	47	36	57
03/01/2023	18	22	16	63	39	88
03/01/2023	19	23	8	66	40	78
03/01/2023	20	29	19	69	45	98
03/01/2023	21	49	24	73	64	111
03/01/2023	22	40	56	76	55	162
03/01/2023	23	33	41	68	50	131
04/01/2023	00	32	13	58	45	77
04/01/2023	01	31	5	53	44	60
04/01/2023	02	29	8	44	41	57
04/01/2023	03	26	5	32	36	40
04/01/2023	04	21	1	25	28	27
04/01/2023	05	8	1	16	11	17
04/01/2023	06	4	8	20	7	32
04/01/2023	07	4	5	28	8	36
04/01/2023	08	6	43	45	16	111
04/01/2023	09	13	63	50	37	147
04/01/2023	10	8	22	29	15	62
04/01/2023	11	8	15	27	19	50
04/01/2023	12	9	13	28	20	49
04/01/2023	13	11	11	33	23	50
04/01/2023	14	12	11	34	26	50
04/01/2023	15	19	14	49	42	71
04/01/2023	16	21	11	54	46	71
04/01/2023	17	22	6	55	37	64
04/01/2023	18	22	7	69	36	79
04/01/2023	19	22	14	74	34	95
04/01/2023	20	28	23	74	42	108
04/01/2023	21	36	27	74	49	115
04/01/2023	22	40	94	81	54	225
04/01/2023	23	36	50	64	47	141
05/01/2023	00	28	25	50	36	87
05/01/2023	01	18	12	33	26	52
05/01/2023	02	13	14	28	24	50
05/01/2023	03	6	2	17	11	20
05/01/2023	04	5	1	13	7	15
05/01/2023	05	4	1	11	5	12
05/01/2023	06	4	2	18	6	20
05/01/2023	07	4	10	34	9	49
05/01/2023	08	9	55	56	22	140
05/01/2023	09	18	90	61	50	198
05/01/2023	10	17	73	59	44	171
05/01/2023	11	21	49	50	39	126
05/01/2023	12	20	34	46	38	97
05/01/2023	13	15	21	41	28	73
05/01/2023	14	21	15	43	37	66
05/01/2023	15	14	6	25	27	34
05/01/2023	16	19	3	25	31	30
05/01/2023	17	19	1	24	28	25
05/01/2023	18	22	1	29	30	30
05/01/2023	19	26	1	42	36	43
05/01/2023	20	40	7	77	52	88
05/01/2023	21	48	57	92	60	178
05/01/2023	22	44	47	80	55	152
05/01/2023	23	42	35	67	51	120
06/01/2023	00	32	15	52	39	75
06/01/2023	01	25	15	41	32	63
06/01/2023	02	15	14	33	22	53
06/01/2023	03	9	2	19	15	22
06/01/2023	04	7	1	15	10	17
06/01/2023	05	9	11	24	12	40
06/01/2023	06	10	3	30	14	34
06/01/2023	07	12	20	41	16	70
06/01/2023	08	12	15	45	17	67
06/01/2023	09	12	27	48	20	89
06/01/2023	10	12	24	44	22	82
06/01/2023	11	9	12	31	17	50
06/01/2023	12	9	9	27	14	40
06/01/2023	13	11	8	29	19	40
06/01/2023	14	12	5	25	21	33
06/01/2023	15	11	5	31	20	38
06/01/2023	16	15	6	41	25	49
06/01/2023	17	14	3	43	25	47
06/01/2023	18	17	1	32	26	33
06/01/2023	19	24	12	64	36	83
06/01/2023	20	38	11	76	48	93
06/01/2023	21	46	18	73	55	100
06/01/2023	22	40	34	75	50	126
06/01/2023	23	38	20	59	45	90
07/01/2023	00	32	10	49	40	64
07/01/2023	01	26	12	43	33	61
07/01/2023	02	21	19	34	28	62
07/01/2023	03	19	7	33	26	43
07/01/2023	04	18	3	37	21	42
07/01/2023	05	15	3	34	19	39
07/01/2023	06	15	3	34	18	39
07/01/2023	07	12	21	53	16	85
07/01/2023	08	10	11	44	16	59
07/01/2023	09	13	18	56	25	84
