FECHA	HORA	PM2.5	NO	NO2	PM10	NOx
01/01/2023	00	26	13	41	37	61
01/01/2023	01	21	19	51	32	80
01/01/2023	02	15	8	38	26	51
01/01/2023	03	10	5	30	18	37
01/01/2023	04	9	2	23	16	26
01/01/2023	05	8	2	25	15	28
01/01/2023	06	8	10	39	16	53
01/01/2023	07	11	21	44	20	75
01/01/2023	08	11	42	50	23	114
01/01/2023	09	12	39	47	24	107
01/01/2023	10	14	40	47	33	109
01/01/2023	11	14	34	47	27	98
01/01/2023	12	15	27	40	27	80
01/01/2023	13	16	11	21	26	38
01/01/2023	14	15	7	19	24	30
01/01/2023	15	17	5	15	26	22
01/01/2023	16	15	4	17	25	23
01/01/2023	17	16	8	31	30	44
01/01/2023	18	19	17	46	34	72
01/01/2023	19	22	39	66	42	126
01/01/2023	20	24	33	60	42	110
01/01/2023	21	29	47	61	44	133
01/01/2023	22	34	48	55	50	128
01/01/2023	23	36	30	48	49	93
02/01/2023	00	32	9	29	44	43
02/01/2023	01	27	5	19	37	26
02/01/2023	02	24	2	15	34	18
02/01/2023	03	20	3	13	28	17
02/01/2023	04	14	8	22	22	34
02/01/2023	05	12	19	33	22	63
02/01/2023	06	12	49	42	25	117
02/01/2023	07	13	64	49	30	147
02/01/2023	08	13	73	47	36	159
02/01/2023	09	15	75	49	44	163
02/01/2023	10	17	63	48	51	145
02/01/2023	11	13	40	43	41	105
02/01/2023	12	29	42	49	57	114
02/01/2023	13	26	30	49	51	96
02/01/2023	14	25	21	45	46	78
02/01/2023	15	22	14	39	41	61
02/01/2023	16	23	22	59	46	93
02/01/2023	17	22	25	59	41	97
02/01/2023	18	20	27	63	37	104
02/01/2023	19	25	58	78	47	167
02/01/2023	20	39	51	76	63	154
02/01/2023	21	36	87	79	68	212
02/01/2023	22	35	64	69	61	168
02/01/2023	23	39	22	53	60	86
03/01/2023	00	37	9	46	52	59
03/01/2023	01	35	5	38	47	46
03/01/2023	02	34	3	30	43	33
03/01/2023	03	34	3	29	43	33
03/01/2023	04	33	4	30	42	37
03/01/2023	05	33	39	39	46	98
03/01/2023	06	31	59	39	43	129
03/01/2023	07	31	115	52	47	229
03/01/2023	08	29	129	49	51	248
03/01/2023	09	27	110	44	53	212
03/01/2023	10	24	100	43	47	197
03/01/2023	11	29	61	50	52	144
03/01/2023	12	24	31	49	46	96
03/01/2023	13	21	15	40	39	61
03/01/2023	14	20	14	32	41	54
03/01/2023	15	18	12	35	36	53
03/01/2023	16	18	18	43	38	70
03/01/2023	17	18	19	48	37	77
03/01/2023	18	22	32	69	42	118
03/01/2023	19	25	98	86	48	237
03/01/2023	20	26	124	90	51	280
03/01/2023	21	35	94	79	58	222
03/01/2023	22	37	109	74	62	242
03/01/2023	23	36	27	53	54	94
04/01/2023	00	33	30	45	51	91
04/01/2023	01	34	26	43	52	83
04/01/2023	02	32	16	36	45	60
04/01/2023	03	28	25	31	38	70
04/01/2023	04	20	7	18	28	29
04/01/2023	05	6	6	17	10	27
04/01/2023	06	4	16	25	10	50
04/01/2023	07	5	26	34	13	75
04/01/2023	08	10	70	51	33	158
04/01/2023	09	17	99	51	51	203
04/01/2023	10	9	34	33	24	85
04/01/2023	11	8	24	26	22	63
04/01/2023	12	8	19	25	19	55
04/01/2023	13	10	13	27	20	46
04/01/2023	14	12	17	33	23	59
04/01/2023	15	13	19	40	27	69
