FECHA	HORA	PM2.5	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	SO2	CO	NO	NO2	PM10	NOx	O3	Veloc.max.
01/01/2023	00	29	1,4	196	11,7	60	1028	1	0	4	0,3	2	21	37	25	11	2
01/01/2023	01	29	1,2	206	11,3	59	1027	1	0	5	0,3	1	1	37	2	9	1,6
01/01/2023	02	15	1,3	227	11,5	53	1027	1	0	4	0,1	1	3	22	4	19	1,9
01/01/2023	03	10	1,6	191	11,6	53	1027	1	0	5	0,1	1	6	14	7	23	2,1
01/01/2023	04	13	1,2	185	10,2	58	1026	1	0	4	0,1	1	1	19	2	17	1,6
01/01/2023	05	12	1	189	10,3	55	1027	1	0	4	0,1	1	1	17	2	21	1,4
01/01/2023	06	9	1,6	186	9,6	55	1027	1	0	4	0,1	1	1	13	2	19	2
01/01/2023	07	7	1,2	222	9,9	52	1027	1	0	4	0,1	1	1	11	2	24	1,7
01/01/2023	08	7	1	207	9,8	54	1028	3	0	3	0,1	1	1	12	2	23	1,5
01/01/2023	09	11	1,2	266	9,8	65	1028	32	0	4	0,1	1	1	17	2	20	1,8
01/01/2023	10	7	1	277	12	53	1028	143	0	4	0,1	1	1	12	2	29	1,6
01/01/2023	11	9	0,9	311	13,5	57	1028	229	0	5	0,1	2	5	15	7	32	1,6
01/01/2023	12	10	1,6	3	14,6	70	1027	384	0	5	0,1	4	8	16	14	41	2,3
01/01/2023	13	10	1,9	32	15,2	81	1026	459	0	5	0,1	2	3	15	6	50	2,6
01/01/2023	14	12	2,4	26	15,4	91	1025	353	0	5	0,1	1	2	18	3	61	3,4
01/01/2023	15	11	2,9	21	15,4	94	1025	251	0	5	0,1	1	1	17	3	63	4
01/01/2023	16	11	3,1	14	15,3	97	1025	94	0	5	0,1	1	2	19	3	67	4,3
01/01/2023	17	11	2,3	21	14,9	98	1025	4	0	5	0,1	1	4	20	5	60	3,4
01/01/2023	18	13	2	7	14,5	99	1025	1	0	5	0,1	1	6	22	6	56	3,1
01/01/2023	19	16	1,7	341	13,6	100	1025	1	0	5	0,1	1	12	26	14	43	2,5
01/01/2023	20	17	1,5	331	13,1	100	1026	1	0	5	0,1	1	15	26	16	37	2,6
01/01/2023	21	22	1,5	309	12,6	100	1026	1	0	5	0,2	1	18	30	20	22	2,5
01/01/2023	22	23	1,4	306	13	100	1026	1	0	5	0,1	1	17	31	19	30	2,2
01/01/2023	23	22	1,3	309	13,2	100	1026	1	0	5	0,1	1	14	31	15	36	2,1
02/01/2023	00	21	1,4	272	13,3	98	1026	1	0	5	0,2	3	18	31	22	26	2,1
02/01/2023	01	23	1,7	266	12,8	97	1026	1	0	5	0,1	2	13	30	17	30	3,1
02/01/2023	02	20	1,2	265	12,4	97	1025	1	0	5	0,1	1	7	28	8	37	1,9
02/01/2023	03	19	1,4	253	12,2	96	1025	1	0	5	0,1	2	10	27	12	30	2,4
02/01/2023	04	17	0,9	192	11,7	92	1025	1	0	5	0,1	2	9	24	12	25	1,4
02/01/2023	05	14	1,1	195	10,8	90	1025	1	0	5	0,1	1	9	19	11	17	1,5
