FECHA	HORA	PM2.5	SO2	NO	NO2	PM10	NOx	O3
01/01/2023	00	24	3			27		16
01/01/2023	01	21	4			23		17
01/01/2023	02	15	4			18		16
01/01/2023	03	10	3			12		23
01/01/2023	04	8	3			9		31
01/01/2023	05	8	3			10		27
01/01/2023	06	7	3			9		24
01/01/2023	07	7	3			8		27
01/01/2023	08	8	4			11		8
01/01/2023	09	9	6			13		9
01/01/2023	10	11	5			16		12
01/01/2023	11	13	5			16		20
01/01/2023	12	14	5			17		32
01/01/2023	13	14	5			16		39
01/01/2023	14	18	5			20		47
01/01/2023	15	17	5			19		47
01/01/2023	16	15	5			17		49
01/01/2023	17	17	5			19		45
01/01/2023	18	19	4			22		31
01/01/2023	19	24	5			26		20
01/01/2023	20	25	4			28		17
01/01/2023	21	29	4			32		17
01/01/2023	22	35	4			38		15
01/01/2023	23	33	4			37		20
02/01/2023	00	33	4			36		13
02/01/2023	01	31	4			34		19
02/01/2023	02	27	4			29		28
02/01/2023	03	25	4			28		21
02/01/2023	04	22	4			25		20
02/01/2023	05	18	5			20		15
02/01/2023	06	13	4			15		12
02/01/2023	07	12	4			15		5
02/01/2023	08	14	3			18		4
02/01/2023	09	14	3			23		5
02/01/2023	10	13	3			21		8
02/01/2023	11	14	3			22		13
02/01/2023	12	13	3			23		16
02/01/2023	13	26	3			41		16
02/01/2023	14	20	3			29		20
02/01/2023	15	20	3			24		43
02/01/2023	16	18	4			21		46
02/01/2023	17	16	3			21		37
02/01/2023	18	17	3			21		43
02/01/2023	19	23	3			28		23
02/01/2023	20	34	3			40		11
03/01/2023	07	32	3			36		6
03/01/2023	08	28	4			34		6
03/01/2023	09	30	6			40		7
03/01/2023	10	25	7			32		9
03/01/2023	11	23	6			28		21
03/01/2023	12	17	6			20		39
03/01/2023	13	15	6			18		41
03/01/2023	14	15	6			20		45
03/01/2023	15	15	7			18		47
03/01/2023	16	16	6			21		30
03/01/2023	17	18	6			23		33
03/01/2023	18	20	7			26		14
03/01/2023	19	23	6			27		6
03/01/2023	20	28	5			34		6
03/01/2023	21	34	4			42		7
03/01/2023	22	34	4			41		7
03/01/2023	23	35	5			41		5
04/01/2023	00	36	5			40		7
04/01/2023	01	38	5			43		6
04/01/2023	02	38	5			42		8
04/01/2023	03	34	5			37		10
04/01/2023	04	26	4			28		12
04/01/2023	05	13	4			14		18
04/01/2023	06	7	4			9		16
04/01/2023	07	7	4			8		10
04/01/2023	08	7	5			10		9
04/01/2023	09	9	5			14		10
04/01/2023	10	8	6			11		15
04/01/2023	11	11	6			15		18
04/01/2023	12	14	6			20		21
04/01/2023	13	16	6			21		26
04/01/2023	14	15	6			23		24
04/01/2023	15	15	5			18		39
04/01/2023	16	18	6			20		46
04/01/2023	17	18	6			22		39
04/01/2023	18	19	6			23		14
04/01/2023	19	21	5			24		5
04/01/2023	20	27	5			32		6
04/01/2023	21	32	4			37		6
04/01/2023	22	33	5			38		7
04/01/2023	23	35	5			40		6
