FECHA	HORA	PM2.5	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	SO2	CO	NO	NO2	PM10	NOx	O3	Veloc.max.
01/01/2023	00	42	1,2	210	8,5	61	1031	1	0	3	0,7	6	29	51	39	8	1,8
01/01/2023	01	37	1,2	224	8,9	57	1031	1	0	3	0,7	7	30	44	40	9	1,8
01/01/2023	02	17	1,4	244	9,7	49	1031	1	0	3	0,5	4	25	22	30	17	2,2
01/01/2023	03	13	1,4	219	9	48	1031	1	0	3	0,5	4	24	18	29	19	2
01/01/2023	04	18	1	205	7,2	60	1030	1	0	3	0,5	4	29	23	35	14	1,6
01/01/2023	05	17	0,7	195	6,3	56	1030	1	0	3	0,5	2	22	21	26	16	1,1
01/01/2023	06	11	1,2	193	6,3	55	1030	1	0	2	0,4	3	23	14	27	16	1,6
01/01/2023	07	8	1	233	7,5	51	1030	1	0	3	0,3	3	18	11	22	24	1,8
01/01/2023	08	8	0,9	218	6,4	56	1031	7	0	2	0,4	2	18	13	22	22	1,4
01/01/2023	09	14	0,8	252	6,9	67	1031	45	0	3	0,4	7	23	21	33	17	1,3
01/01/2023	10	15	0,5	278	9	60	1031	125	0	1	0,4	10	20	23	35	18	1
01/01/2023	11	14	0,6	285	11,8	52	1031	228	0	3	0,4	16	25	21	50	17	1
01/01/2023	12	11	1,6	349	12,7	67	1031	388	0	2	0,3	10	17	15	33	29	2,3
01/01/2023	13	11	1,5	20	13,4	73	1030	463	0	3	0,3	6	9	15	17	37	2,5
01/01/2023	14	12	1,8	11	13,7	82	1029	392	0	3	0,3	3	7	17	12	48	2,8
01/01/2023	15	11	2,2	9	13,6	86	1029	275	0	2	0,2	3	6	16	10	51	3,5
01/01/2023	16	10	2,7	4	13,5	89	1029	122	0	3	0,2	5	15	16	23	47	4,3
01/01/2023	17	10	2	9	13,1	89	1029	21	0	3	0,3	4	14	18	21	44	3,2
01/01/2023	18	12	1,6	6	12,9	90	1029	1	0	3	0,2	2	9	20	13	49	2,6
01/01/2023	19	15	1,4	331	12	92	1029	1	0	3	0,3	3	25	23	29	31	2,1
01/01/2023	20	16	1,4	330	11,5	92	1030	1	0	4	0,3	3	30	25	35	29	2,2
01/01/2023	21	21	1,6	319	11,3	92	1030	1	0	4	0,4	15	38	29	60	15	2,5
01/01/2023	22	25	1,5	305	11,4	92	1030	1	0	4	0,4	10	40	33	56	11	2,2
01/01/2023	23	20	1,5	315	11,8	90	1030	1	0	4	0,3	5	30	29	37	26	2,2
02/01/2023	00	23	1,1	263	11,4	89	1029	1	0	4	0,4	3	33	32	39	19	1,7
02/01/2023	01	24	1	271	11	89	1029	1	0	4	0,3	2	22	31	26	28	1,8
02/01/2023	02	20	0,8	284	10,5	89	1029	1	0	2	0,3	2	13	28	17	34	1,6
02/01/2023	03	20	0,8	250	10,3	89	1028	1	0	1	0,3	2	12	27	16	32	1,8
02/01/2023	04	18	0,8	191	8,9	87	1029	1	0	1	0,3	2	15	24	18	18	1,2
02/01/2023	05	14	0,7	204	8,2	85	1029	1	0	1	0,3	3	18	19	22	15	1,3
02/01/2023	06	12	0,8	213	7,4	82	1029	1	0	1	0,3	5	24	18	31	11	1,3
02/01/2023	07	10	1	232	7,2	76	1029	1	0	1	0,3	14	28	16	49	7	1,6
02/01/2023	08	11	0,6	211	7,4	75	1030	5	0	1	0,4	58	35	21	123	4	1,3
02/01/2023	09	16	0,9	223	8,2	73	1029	66	0	2	0,5	77	41	34	158	4	1,6
02/01/2023	10	15	1,1	218	9,5	68	1030	148	0	2	0,4	50	38	31	114	6	1,7
02/01/2023	11	19	1	210	12,3	60	1030	319	0	1	0,4	50	39	38	115	7	1,7
02/01/2023	12	21	1,1	203	13,1	62	1029	285	0	1	0,3	45	43	37	111	10	1,9
02/01/2023	13	24	1,1	133	14,2	64	1028	440	0	2	0,4	103	51	39	209	6	1,8
02/01/2023	14	16	1,5	123	14,5	63	1028	294	0	1	0,3	62	51	29	146	11	2,4
02/01/2023	15	18	1,6	109	13,6	78	1028	184	0	2	0,3	57	52	32	139	18	2,4
02/01/2023	16	16	1,7	80	13,3	79	1028	84	0	1	0,3	30	44	27	90	27	2,6
02/01/2023	17	14	1,5	26	13	75	1029	25	0	1	0,3	13	39	22	58	33	2,4
02/01/2023	18	13	1,2	25	12,7	77	1029	1	0	1	0,3	9	41	21	54	33	2,1
02/01/2023	19	14	1,1	358	12,6	81	1030	1	0	1	0,2	14	50	23	71	25	1,7
02/01/2023	20	21	0,9	332	12	83	1031	1	0	1	0,4	9	51	32	64	14	1,5
02/01/2023	21	26	0,6	256	11,7	85	1030	1	0	1	0,5	15	52	38	75	10	1
02/01/2023	22	28	0,8	254	11,8	85	1031	1	0	1	0,6	24	55	41	92	6	1,4
02/01/2023	23	29	1,2	303	12	84	1032	1	0	1	0,5	24	57	40	92	5	1,7
03/01/2023	00	29	1,3	265	12	82	1031	1	0	1	0,4	4	43	41	49	13	2,2
03/01/2023	01	30	0,7	241	11,7	80	1031	1	0	1	0,4	3	36	38	40	15	1,3
03/01/2023	02	29	0,8	253	11,1	83	1031	1	0	1	0,4	3	34	37	38	14	1,5
03/01/2023	03	29	0,5	264	10,6	85	1032	1	0	1	0,4	3	26	35	30	18	0,9
03/01/2023	04	29	0,4	316	10,7	86	1032	1	0	1	0,3	3	25	36	30	16	1
03/01/2023	05	28	0,1	304	10,5	85	1032	1	0	1	0,3	3	26	35	31	13	0,3
03/01/2023	06	29	0,7	218	9,8	88	1032	1	0	1	0,5	43	32	36	98	6	1,1
03/01/2023	07	27	0,7	241	10,1	88	1033	1	0	2	0,5	54	34	34	116	4	1,1
03/01/2023	08	27	0,6	242	10,5	87	1034	2	0	2	0,6	87	39	37	173	3	1
03/01/2023	09	24	0,5	298	11,9	84	1034	61	0	2	0,6	70	42	39	151	4	1
03/01/2023	10	22	0,8	316	13,4	78	1035	198	0	2	0,5	46	40	40	110	8	1,4
03/01/2023	11	19	1,3	356	13,8	75	1036	196	0	2	0,3	24	36	29	72	16	2,1
03/01/2023	12	13	0,8	23	14,3	72	1035	201	0	1	0,3	19	31	22	60	24	1,4
03/01/2023	13	11	0,8	58	14,9	68	1034	209	0	1	0,3	54	43	20	126	18	1,5
03/01/2023	14	14	1	99	15,1	68	1033	275	0	2	0,3	73	57	25	168	9	1,4
03/01/2023	15	14	1,9	115	15,1	70	1034	312	0	2	0,1	80	54	31	177	11	2,7
03/01/2023	16	14	1,9	122	14,7	73	1034	144	0	2	0,1	74	59	35	172	10	2,5
