FECHA	HORA	PM2.5	PM1	SO2	CO	NO	NO2	PM10	NOx	O3
01/01/2023	00	58	40	5	0,1	2	28	72	31	9
01/01/2023	01	49	34	5	0,1	6	29	61	38	8
01/01/2023	02	29	20	5	0,1	2	23	36	26	16
01/01/2023	03	15	11	5	0,1	1	12	19	13	30
01/01/2023	04	12	8	4	0,1	1	13	15	15	29
01/01/2023	05	11	7	4	0,1	1	11	14	13	27
01/01/2023	06	9	6	4	0,1	2	15	11	17	29
01/01/2023	07	10	7	4	0,1	2	19	12	21	19
01/01/2023	08	12	8	5	0,1	3	21	14	25	12
01/01/2023	09	14	9	5	0,1	9	21	17	34	11
01/01/2023	10	14	10	4	0,1	22	26	18	59	14
01/01/2023	11	22	15	4	0,1	10	22	27	38	23
01/01/2023	12	28	19	4	0,1	8	19	34	32	30
01/01/2023	13	19	13	3	0,1	6	16	23	24	40
01/01/2023	14	14	10	3	0,1	2	11	18	14	49
01/01/2023	15	17	12	3	0,1	1	8	22	10	57
01/01/2023	16	17	12	3	0,1	1	8	22	10	57
01/01/2023	17	17	12	3	0,1	1	10	23	12	53
01/01/2023	18	21	14	3	0,1	1	14	26	16	44
01/01/2023	19	24	16	3	0,1	3	19	29	24	27
01/01/2023	20	26	18	4	0,1	4	26	32	33	13
01/01/2023	21	30	21	4	0,1	21	33	38	65	7
01/01/2023	22	40	28	5	0,1	35	33	50	87	7
01/01/2023	23	49	34	3	0,1	16	28	60	52	7
02/01/2023	00	49	34	3	0,1	3	24	61	29	9
02/01/2023	01	38	27	3	0,1	1	16	48	18	14
02/01/2023	02	33	23	3	0,1	1	13	42	15	15
02/01/2023	03	27	18	4	0,1	1	10	34	12	19
02/01/2023	04	17	12	3	0,1	1	8	22	10	21
02/01/2023	05	14	10	4	0,1	1	9	18	11	18
02/01/2023	06	14	9	3	0,1	1	16	17	18	14
02/01/2023	07	12	8	4	0,1	12	28	15	46	7
02/01/2023	08	12	8	4	0,1	16	27	15	52	6
02/01/2023	09	11	8	4	0,1	14	28	14	50	11
02/01/2023	10	11	7	4	0,1	9	22	14	35	16
02/01/2023	11	12	8	4	0,1	5	18	14	25	23
