FECHA	HORA	PM2.5	C8H10	C7H8	C6H6	SO2	CO	NO	NO2	PM10	NOx	O3
01/01/2023	00	29	0,7	1	1	3	0,4	12	22	48	40	16
01/01/2023	01	33	0,6	1	1	3	0,4	8	24	53	36	12
01/01/2023	02	14	0,5	0,6	0,6	3	0,2	3	15	24	19	23
01/01/2023	03	10	0,4	0,6	0,4	3	0,2	2	10	18	13	31
01/01/2023	04	8	0,3	0,6	0,3	3	0,2	2	10	15	13	34
01/01/2023	05	9	0,4	0,6	0,3	3	0,2	2	12	17	15	28
01/01/2023	06	9	0,4	0,6	0,4	3	0,2	2	12	15	15	23
01/01/2023	07	10	0,4	0,6	0,4	3	0,2	9	17	18	31	18
01/01/2023	08	11	0,4	0,6	0,4	3	0,3	22	24	26	57	11
01/01/2023	09	14	0,6	0,9	0,6	3	0,3	21	23	30	55	8
01/01/2023	10	14	0,6	0,8	0,5	3	0,3	21	23	27	56	12
01/01/2023	11	14	0,5	0,7	0,5	3	0,3	10	20	26	35	22
01/01/2023	12	16	0,6	0,8	0,5	3	0,2	8	14	27	25	35
01/01/2023	13	17	0,4	0,6	0,4	3	0,2	5	9	28	17	45
01/01/2023	14	19	0,3	0,6	0,4	3	0,2	3	6	31	10	60
01/01/2023	15	20	0,3	0,6	0,4	3	0,2	1	5	32	6	67
01/01/2023	16	18	0,3	0,6	0,3	3	0,2	1	3	29	5	68
01/01/2023	17	19	0,3	0,6	0,3	3	0,2	2	7	31	10	61
01/01/2023	18	22	0,3	0,6	0,4	3	0,3	2	11	35	15	51
01/01/2023	19	26	0,3	0,6	0,4	3	0,3	3	14	42	19	44
01/01/2023	20	28	0,3	0,6	0,4	3	0,3	3	16	45	20	39
01/01/2023	21	35	0,4	0,6	0,6	3	0,4	8	25	55	38	18
01/01/2023	22	39	0,5	0,7	0,9	3	0,4	19	32	62	61	8
01/01/2023	23	37	0,5	0,8	1	3	0,4	9	27	60	41	13
02/01/2023	00	37	0,4	0,6	0,8	3	0,4	2	17	59	20	21
02/01/2023	01	31	0,4	0,6	0,6	3	0,3	2	8	49	10	31
02/01/2023	02	27	0,3	0,6	0,5	3	0,3	1	5	43	6	34
02/01/2023	03	24	0,4	0,6	0,5	3	0,2	1	5	37	6	32
02/01/2023	04	18	0,3	0,6	0,4	3	0,1	1	5	29	7	28
02/01/2023	05	15	0,3	0,6	0,4	3	0,2	2	8	24	10	18
02/01/2023	06	13	0,4	0,6	0,4	3	0,2	17	18	21	45	6
02/01/2023	07	13	0,4	0,6	0,5	3	0,3	26	25	24	65	3
02/01/2023	08	15	0,6	0,6	0,5	3	0,4	50	28	39	104	4
02/01/2023	09	27	1,3	1,6	0,9	3	0,5	48	28	134	102	7
02/01/2023	10	18	2,5	2,1	0,8	4	0,3	43	33	42	98	8
02/01/2023	11	18	2,7	5,6	0,7	4	0,4	40	33	43	95	11
02/01/2023	12	31	4	4,5	0,8	4	0,3	30	30	59	75	19
02/01/2023	13	32	2,1	2,6	1	4	0,4	36	33	59	88	23
02/01/2023	14	21	2,5	2	0,7	3	0,3	17	26	39	51	34
02/01/2023	15	23	0,5	0,6	0,5	3	0,3	17	28	42	54	42
02/01/2023	16	25	0,7	1,4	0,6	3	0,4	20	38	48	68	24
02/01/2023	17	21	0,5	1,2	0,6	3	0,3	9	21	38	34	42
02/01/2023	18	19	0,7	1,5	0,6	3	0,3	9	27	35	41	33
02/01/2023	19	23	0,8	2,4	0,7	3	0,3	6	24	39	33	39
02/01/2023	20	36	0,9	1,8	0,8	3	0,5	12	38	61	56	17
02/01/2023	21	40	1,1	2,4	1,1	3	0,6	25	39	70	77	11
02/01/2023	22	38	2,5	4,8	1,3	4	0,5	43	47	62	113	8
02/01/2023	23	40	2,2	12,2	1	3	0,4	11	36	63	52	8
03/01/2023	00	40	1	3,1	0,9	3	0,3	3	27	63	31	16
03/01/2023	01	39	0,9	2,8	0,6	3	0,2	2	22	61	25	18
03/01/2023	02	39	0,8	1,5	0,5	3	0,2	2	15	61	18	23
03/01/2023	03	38	0,5	0,9	0,5	3	0,2	2	11	60	14	25
03/01/2023	04	38	0,5	0,6	0,5	3	0,2	2	12	58	14	20
03/01/2023	05	37	0,5	1,5	0,5	3	0,2	2	16	57	19	13
03/01/2023	06	37	1,4	8,2	0,6	4	0,3	27	20	58	62	8
03/01/2023	07	35	2,4	6	0,9	4	0,4	66	29	55	130	7
03/01/2023	08	35	2,6	3,5	1,2	5	0,5	76	25	59	142	8
03/01/2023	09	37	4,6	7,3	1,7	5	0,5	74	26	74	141	7
03/01/2023	10	32	4,5	6,9	1,2	4	0,5	55	30	55	114	10
03/01/2023	11	28	3,4	5,7	1,1	3	0,4	20	27	48	57	21
03/01/2023	12	21	0,5	1	0,5	3	0,2	18	24	38	52	29
03/01/2023	13	19	0,8	1,3	0,6	3	0,3	21	25	36	58	36
03/01/2023	14	19	0,7	1,4	0,7	3	0,2	11	22	35	38	43
03/01/2023	15	19	0,4	0,6	0,5	3	0,2	21	31	37	63	31
03/01/2023	16	19	0,4	0,6	0,5	3	0,2	19	31	34	60	35
03/01/2023	17	22	0,6	1	0,7	3	0,3	28	38	38	81	22
03/01/2023	18	25	1	1,1	0,7	3	0,5	36	46	46	102	10
03/01/2023	19	27	1,5	4,1	1,1	4	0,5	49	48	52	123	8
03/01/2023	20	32	4,6	10,4	2,2	5	0,9	69	51	62	157	8
03/01/2023	21	40	3,7	7,3	1,5	4	0,6	48	43	67	117	7
03/01/2023	22	39	2,6	4,6	1,3	4	0,5	54	42	64	125	8
03/01/2023	23	41	3,7	6,4	1,7	4	0,4	42	37	67	101	8
04/01/2023	00	41	2,8	7,3	1,3	3	0,4	26	28	65	67	9
04/01/2023	01	40	1,6	2,7	0,9	3	0,3	4	26	66	33	7
04/01/2023	02	40	1,4	9,3	0,8	3	0,2	5	22	63	30	10
04/01/2023	03	36	1,9	7,1	0,8	3	0,2	3	16	57	21	8
04/01/2023	04	27	2,4	19	0,6	3	0,2	2	10	44	13	11
04/01/2023	05	9	0,6	2,2	0,4	3	0,1	2	4	14	7	24
04/01/2023	06	5	0,3	0,6	0,3	3	0,1	5	12	9	19	15
04/01/2023	07	5	0,3	0,6	0,3	3	0,1	13	19	11	39	9
04/01/2023	08	13	0,3	0,6	0,4	3	0,2	25	23	33	60	6
04/01/2023	09	18	3,2	4,6	0,6	4	0,2	54	27	36	110	7
04/01/2023	10	10	2,1	3,1	0,6	3	0,1	22	18	21	52	14
04/01/2023	11	9	0,4	0,6	0,4	3	0,1	12	14	21	32	24
04/01/2023	12	12	0,4	0,6	0,4	3	0,1	8	14	25	26	33
04/01/2023	13	14	0,4	0,6	0,4	3	0,2	11	16	28	32	38
04/01/2023	14	15	0,4	0,8	0,4	3	0,2	10	18	29	32	39
04/01/2023	15	20	1	2	0,6	3	0,2	25	30	38	69	29
04/01/2023	16	24	0,8	1,1	0,5	3	0,3	21	33	41	66	32
04/01/2023	17	26	0,7	1,3	0,7	3	0,4	38	44	46	102	23
04/01/2023	18	25	1,3	2,5	0,8	3	0,5	33	45	47	95	13
04/01/2023	19	30	3,1	5,6	1,3	4	0,7	75	56	60	171	8
04/01/2023	20	31	4,9	9,7	2	5	0,9	71	53	59	162	7
04/01/2023	21	36	3	6,9	1,3	3	0,6	43	46	62	111	8
04/01/2023	22	43	3	5,7	1,5	5	0,6	74	47	69	160	10
04/01/2023	23	43	3,8	6,6	1,8	4	0,6	45	34	68	103	10
05/01/2023	00	35	2,8	4,9	1,3	3	0,4	13	23	55	43	7
05/01/2023	01	23	1	1,9	0,7	3	0,2	3	16	37	20	7
05/01/2023	02	12	0,5	1,4	0,4	3	0,2	1	7	20	9	17
05/01/2023	03	9	0,4	0,6	0,3	3	0,1	1	5	15	6	21
05/01/2023	04	6	0,4	0,6	0,3	3	0,1	1	5	11	7	24
05/01/2023	05	5	0,3	0,6	0,3	3	0,1	2	4	9	7	31
05/01/2023	06	8	0,3	0,6	0,3	3	0,1	10	16	13	31	16
05/01/2023	07	12	0,5	0,6	0,6	3	0,2	41	28	22	91	5
05/01/2023	08	24	1,1	2,4	0,6	4	0,3	49	29	45	104	5
05/01/2023	09	34	5,6	13,7	0,9	5	0,4	76	34	65	150	8
05/01/2023	10	28	3,9	6,8	0,8	4	0,3	40	30	49	92	14
05/01/2023	11	23	1,3	1,3	0,6	3	0,2	24	19	45	56	19
05/01/2023	12	24	1	0,8	0,6	3	0,2	16	18	44	43	27
05/01/2023	13	20	8,1	8,9	0,7	3	0,2	18	24	38	52	32
05/01/2023	14	27	5,4	4,4	0,7	3	0,2	20	27	46	58	35
05/01/2023	15	19	1,3	0,8	0,5	3	0,1	17	26	32	52	42
05/01/2023	16	26	0,5	0,6	0,5	3	0,2	21	36	44	68	37
05/01/2023	17	24	0,5	0,8	0,6	3	0,3	18	34	39	61	36
