FECHA	HORA	SO2	NO	NO2	NOx	O3
01/01/2023	00	4	5	29	37	7
01/01/2023	01	5	4	30	36	8
01/01/2023	02	6	5	33	41	5
01/01/2023	03	6	3	21	25	13
01/01/2023	04	7	2	11	13	25
01/01/2023	05	6	1	9	11	27
01/01/2023	06	7	2	15	18	20
01/01/2023	07	6	2	16	19	20
01/01/2023	08	3	2	13	16	18
01/01/2023	09	4	12	24	42	9
01/01/2023	10	4	15	25	48	9
01/01/2023	11	3	10	22	36	17
01/01/2023	12	3	6	14	24	28
01/01/2023	13	3	3	6	10	38
01/01/2023	14	3	2	5	7	48
01/01/2023	15	3	2	4	6	50
01/01/2023	16	3	2	3	6	52
01/01/2023	17	3	2	7	10	45
01/01/2023	18	3	1	10	11	39
01/01/2023	19	3	1	11	13	37
01/01/2023	20	3	2	18	20	25
01/01/2023	21	3	3	26	29	12
01/01/2023	22	3	8	31	43	5
01/01/2023	23	3	16	34	58	4
02/01/2023	00	3	4	27	32	6
02/01/2023	01	3	2	15	18	17
02/01/2023	02	3	2	10	13	19
02/01/2023	03	3	2	11	13	19
02/01/2023	04	3	1	8	10	17
02/01/2023	05	3	2	10	12	14
02/01/2023	06	3	3	15	20	8
02/01/2023	07	3	12	25	44	3
02/01/2023	08	3	24	28	64	2
02/01/2023	09	4	24	29	66	3
02/01/2023	10	3	16	26	50	7
02/01/2023	14	4	6	23	33	28
02/01/2023	15	3	4	22	28	35
02/01/2023	16	3	3	15	18	40
02/01/2023	17	3	2	16	18	37
02/01/2023	18	3	2	20	22	31
02/01/2023	19	3	2	27	30	22
02/01/2023	20	3	3	33	37	14
02/01/2023	21	3	7	40	50	6
02/01/2023	22	3	12	45	63	4
02/01/2023	23	3	5	39	47	6
03/01/2023	00	3	3	34	38	8
03/01/2023	01	3	3	28	34	6
03/01/2023	02	3	2	21	24	12
03/01/2023	03	3	2	19	22	10
03/01/2023	04	3	2	19	22	7
03/01/2023	05	3	4	21	26	5
03/01/2023	06	3	12	23	42	4
03/01/2023	07	3	28	23	66	4
03/01/2023	08	4	48	24	98	3
03/01/2023	09	5	70	26	133	5
03/01/2023	10	4	54	33	116	6
03/01/2023	11	3	10	27	42	16
03/01/2023	12	3	3	13	17	32
03/01/2023	13	3	2	8	11	44
03/01/2023	14	3	3	10	14	46
03/01/2023	15	3	8	26	37	31
03/01/2023	16	3	6	30	38	27
03/01/2023	17	3	8	44	56	10
03/01/2023	18	3	7	47	56	7
03/01/2023	19	4	13	49	69	3
03/01/2023	20	3	14	43	65	3
03/01/2023	21	3	16	38	63	4
03/01/2023	22	5	33	44	94	4
03/01/2023	23	4	26	40	79	4
04/01/2023	00	3	14	35	55	4
04/01/2023	01	3	7	32	43	5
04/01/2023	02	3	3	27	32	6
04/01/2023	03	3	4	20	27	5
04/01/2023	04	3	2	13	17	6
04/01/2023	05	3	2	9	11	13
04/01/2023	06	3	3	12	15	13
04/01/2023	07	3	4	19	25	7
04/01/2023	08	5	32	28	77	5
04/01/2023	09	5	27	26	67	5
04/01/2023	10	4	7	12	22	15
04/01/2023	11	4	8	13	26	17
04/01/2023	12	4	9	15	29	21
04/01/2023	13	3	5	14	22	34
04/01/2023	14	4	13	25	45	21
04/01/2023	15	4	8	24	36	26
04/01/2023	16	4	5	25	32	31
04/01/2023	17	4	8	41	53	15
04/01/2023	18	5	23	52	88	3
04/01/2023	19	4	31	51	99	3
04/01/2023	20	3	17	43	69	3
04/01/2023	21	3	19	39	68	3
04/01/2023	22	4	50	43	120	4
04/01/2023	23	4	41	39	101	4
05/01/2023	00	3	10	30	44	3
05/01/2023	01	3	3	20	24	6
05/01/2023	02	4	2	12	15	10
05/01/2023	03	5	2	6	9	18
05/01/2023	04	6	2	5	8	19
05/01/2023	05	6	2	6	9	18
05/01/2023	06	7	2	13	16	14
05/01/2023	07	6	4	23	29	8
05/01/2023	08	3	12	29	47	3
05/01/2023	09	4	25	29	66	5
05/01/2023	10	3	25	28	66	9
05/01/2023	11	3	28	33	76	12
05/01/2023	12	3	16	25	50	18
05/01/2023	13	3	10	24	39	25
05/01/2023	14	3	9	25	38	32
05/01/2023	15	3	3	14	19	46
05/01/2023	16	3	3	16	20	43
05/01/2023	17	3	2	17	20	45
05/01/2023	18	3	2	26	29	35
05/01/2023	19	3	2	28	31	27
05/01/2023	20	3	4	36	42	11
05/01/2023	21	3	16	44	68	4
05/01/2023	22	3	46	46	117	4
05/01/2023	23	3	23	40	75	4
06/01/2023	00	3	9	31	45	5
06/01/2023	01	3	3	24	28	7
06/01/2023	02	3	2	14	17	14
06/01/2023	03	3	2	7	10	20
06/01/2023	04	3	2	6	9	21
06/01/2023	05	3	2	7	10	21
06/01/2023	06	3	2	11	14	15
06/01/2023	07	3	4	18	24	7
06/01/2023	08	3	15	23	46	2
06/01/2023	09	4	11	21	37	8
06/01/2023	10	3	7	15	26	19
06/01/2023	11	3	5	10	17	26
06/01/2023	12	3	5	12	20	33
06/01/2023	13	3	5	15	22	37
06/01/2023	14	3	5	16	23	39
06/01/2023	15	3	5	20	27	36
06/01/2023	16	3	2	15	19	40
06/01/2023	17	3	2	18	21	39
06/01/2023	18	3	2	30	33	22
06/01/2023	19	3	5	38	44	12
06/01/2023	20	3	4	40	45	6
06/01/2023	21	3	8	39	51	7
06/01/2023	22	3	33	43	92	5
06/01/2023	23	3	18	35	63	4
07/01/2023	00	3	13	30	50	4
07/01/2023	01	3	6	25	35	3
07/01/2023	02	3	3	20	24	5
07/01/2023	03	3	2	15	18	9
07/01/2023	04	3	3	17	21	6
07/01/2023	05	3	3	16	21	5
07/01/2023	06	4	5	19	26	4
07/01/2023	07	4	11	26	43	3
07/01/2023	08	3	8	29	42	6
07/01/2023	09	3	18	32	59	7
07/01/2023	10	3	5	13	20	31
07/01/2023	11	3	3	8	12	43
07/01/2023	12	3	3	6	10	48
07/01/2023	13	3	2	6	9	49
07/01/2023	14	3	2	6	9	50
07/01/2023	15	3	2	5	8	53
07/01/2023	16	3	2	5	9	52
07/01/2023	17	3	2	10	13	46
07/01/2023	18	3	2	11	13	46
07/01/2023	19	3	2	16	19	40
07/01/2023	20	3	2	17	20	40
07/01/2023	21	3	2	24	27	31
07/01/2023	22	3	2	16	19	36
07/01/2023	23	3	1	12	14	39
08/01/2023	00	3	2	7	9	46
08/01/2023	01	3	2	3	6	53
08/01/2023	02	3	2	4	6	53
08/01/2023	03	3	1	3	6	54
08/01/2023	04	3	2	3	5	53
08/01/2023	05	3	2	3	6	51
08/01/2023	06	3	2	5	7	48
08/01/2023	07	3	2	10	13	38
08/01/2023	08	3	1	11	14	34
